gdp,cpia_regulation,cpia_gender,cpia_resources,cpia_transparency,cpia_inclusion,cpia_trade,education$,coll_enrollment,income_quintile2,income_quintile3,income_quintile4,income_quintile5,income_top10%,income_middle60%,comm_import_capita,comm_export_capita
7.479976991613202,2.4581128486612207,2.0,4.828682739953337,1.4142135623730951,2.6,1.7320508075688772,2.1239491519337275,53.24683,11.9,16.3,4.701063709417263,3.7600366484302645,3.332204510175204,50.5,5.214075508137999,2.6933468085745953
8.67697768575148,3.4275226679634283,4.0,5.916136841548457,1.7320508075688772,3.4,2.1213203435596424,1.799644409320908,76.88706,12.9,17.0,4.743416490252569,3.6938669956249752,3.2308043957334744,52.4,6.767486904977899,5.391689927794269
8.792924638759551,1.9711610109413422,3.5,3.8119704352528774,1.5811388300841898,2.8,2.0,1.8544460089201842,28.78131,11.9,16.3,4.701063709417263,3.7600366484302645,3.332204510175204,50.5,6.656137549578363,7.719941381715154
9.511531041098346,3.6958934973591586,4.0,6.041162187740523,1.855921454156937,3.575,2.0548046676563256,1.8638803609674093,94.00599,8.4,13.7,4.701063709417263,3.970291913552122,3.580737295494233,44.2,6.600249644792581,6.9348968200271
9.608964131333975,3.6422480273595568,4.0,6.167009139576892,1.855921454156937,3.5875,2.0275875100994063,1.9118028140998224,93.34507,8.7,14.2,4.743416490252569,3.9435216724875173,3.5467396869528134,45.4,6.76406231843484,7.07333447659442
9.711809358618002,3.6958934973591586,3.833333333,6.293673104239162,1.855921454156937,3.5625,2.068278940998476,1.973914891782318,93.70675,8.7,14.2,4.732863826479693,3.9435216724875173,3.5467396869528134,45.3,7.023000425226856,7.244100337696609
9.760651866045883,3.588588384862621,3.833333333,6.293673104239162,1.855921454156937,3.611111111,2.068278940998476,2.082740982455572,95.24628,9.1,14.5,4.764451699828638,3.919991175077323,3.5085558999826545,46.3,7.263875482265168,7.461394437654279
9.695893109825795,3.534914395385027,3.777777778,6.167009139576892,1.8708286933869707,3.566666667,2.068278940998476,2.211329916588658,98.83082,9.4,15.0,4.795831523312719,3.8979240810486444,3.4719664525503626,47.4,6.8610239942039435,7.222122052099864
9.80172666155992,3.588588384862621,3.666666667,6.293673104239162,1.840893502894722,3.555555556,2.068278940998476,2.146245559110141,101.80112,9.4,14.9,4.753945729601885,3.903990833730882,3.4873750779032076,46.900000000000006,7.2394763277166625,7.422024179802235
9.869063278057787,3.4275226679634283,3.722222222,6.167009139576892,1.840893502894722,3.533333333,2.0548046676563256,2.2330047021894064,103.59968,9.6,15.0,4.764451699828638,3.8877303128591016,3.4657359027997265,47.3,7.491916665780287,7.606935541578541
9.885443228518337,3.3738045622947634,3.611111111,6.167009139576892,1.840893502894722,3.533333333,2.0548046676563256,2.258105400551533,105.19255,9.9,15.4,4.8166378315169185,3.8607297110405954,3.4242626545931514,48.5,7.396195239399051,7.558784602516901
9.910099644397148,3.3738045622947634,3.555555556,6.167009139576892,1.8708286933869707,3.533333333,2.0548046676563256,2.311730953203681,106.32314,10.0,15.6,4.8270073544588685,3.8522730010223722,3.414442608412176,48.900000000000006,7.475849152511195,7.496067062976496
8.583149457078926,3.910336952725286,4.5,8.288775033226226,1.5811388300841898,4.2,2.1213203435596424,1.6468242164845646,91.05856,11.8,15.2,4.494441010848846,3.822098297900159,3.459466289786131,47.2,6.320957477149745,5.731667793028151
8.74433354486505,3.910336952725286,4.5,8.288775033226226,1.8708286933869707,4.2,2.1213203435596424,1.6479593441587084,93.88583,13.1,17.0,4.701063709417263,3.6838669122903918,3.2386784521643803,52.2,6.587620928455943,5.807316359368302
8.90669557037384,3.910336952725286,4.5,8.288775033226226,1.8708286933869707,4.2,2.1213203435596424,1.7375097122030714,94.87297,12.8,16.7,4.701063709417263,3.713572066704308,3.261935314328648,51.6,6.924645863032843,5.92477528924898
8.999410676916456,3.910336952725286,4.5,8.288775033226226,1.7320508075688772,4.1,2.1213203435596424,1.7812158768661366,92.70561,13.1,17.0,4.732863826479693,3.673765816303888,3.2068032436339315,52.5,7.226695593984653,5.8710613589862
8.86026219288819,3.910336952725286,4.5,8.288775033226226,1.7320508075688772,4.1,2.1213203435596424,1.959793356453685,96.63288,13.5,17.2,4.732863826479693,3.6506582412937387,3.173878458937465,53.1,6.977240498059401,5.445627284316577
8.90005679903434,3.910336952725286,4.5,8.288775033226226,1.7320508075688772,4.1,2.1213203435596424,1.8024982662959763,96.59815,13.0,16.8,4.658325879540846,3.6988297849671046,3.258096538021482,51.5,7.158177752073876,5.841476264393906
10.404843278022737,3.1196569480017153,3.318181818,5.916136841548457,1.6922282245607416,3.14,1.9306145983268455,2.2164521199430407,148.36611,11.9,16.3,4.701063709417263,3.7600366484302645,3.332204510175204,50.5,8.73346292035478,8.566953318811436
10.532598752330601,2.9875556198905726,3.363636364,5.71333441338356,1.7320508075688772,3.181818182,1.9540168418367887,2.1529723639656875,128.03405,11.6,15.9,4.743416490252569,3.7773481021015445,3.3463891451671604,50.0,9.152940977947596,9.08187207762446
10.580622722326707,2.9875556198905726,3.363636364,6.4327784637840075,1.7320508075688772,3.263636364,1.9886038958388508,2.359860165348786,132.4567,11.8,16.1,4.764451699828638,3.7612001156935624,3.3141860046725258,50.6,9.122177879683173,9.17247355196692
8.816025864208495,3.4275226679634283,4.0,5.916136841548457,1.5811388300841898,3.4,2.0,1.724708671051433,96.59815,13.9,16.6,4.571651780264984,3.6584202466292277,3.2268439945173775,51.4,6.220234420205243,6.251943582103512
