%pov,cpia_regulation,cpia_gender,cpia_resources,cpia_transparency,cpia_inclusion,cpia_trade,education$,coll_enrollment,income_quintile2,income_quintile3,income_quintile4,income_quintile5,income_top10%,income_middle60%,comm_import_capita,comm_export_capita
2.970414465569701,1.5040773967762742,4.0,1.8708286933869707,1.7320508075688772,3.4,2.1213203435596424,3.23872,76.88706,12.9,17.0,4.743416490252569,3.6938669956249752,3.2308043957334744,52.4,29.463960248969354,5.391689927794269
2.312535423847214,1.6094379124341003,4.0,2.0,1.5811388300841898,3.8,1.8708286933869707,2.78062,98.80386,11.9,16.3,4.679743582719036,3.756538102587751,3.332204510175204,50.400000000000006,26.99220382937958,7.762630801035543
3.713572066704308,1.5040773967762742,4.0,1.8708286933869707,1.5811388300841898,3.6,1.7320508075688772,4.709555,45.51679,12.2,15.6,4.571651780264984,3.7727609380946383,3.367295829986474,48.7,9.467511143882916,4.208007946591256
3.481240089335692,1.5040773967762742,4.0,1.8708286933869707,1.7320508075688772,3.6,1.7320508075688772,4.709555,50.11942,12.5,16.0,4.604345773288535,3.7495040759303713,3.32862668882732,49.7,14.337493727848283,4.872112949289924
2.617395832834079,1.515127232962859,4.1,1.8973665961010275,1.6278820596099706,3.62,1.9874606914351791,5.87103,96.83547,13.8,17.8,4.795831523312719,3.624340932976365,3.126760535960395,54.6,41.56858694850181,7.4111251078882106
1.8562979903656263,1.5639755384038547,4.277777778,1.9436506316722664,1.6158932857710624,3.733333333,2.0949675149960894,4.51673,109.52856,13.8,17.7,4.732863826479693,3.6375861597263857,3.1612467120315646,53.9,54.82528802109016,7.715330177637439
1.8245492920510458,1.5639755384038547,4.277777778,1.957890020659996,1.6329931619575142,3.755555556,2.0816659994661326,5.41014,107.05787,13.4,17.5,4.774934554525329,3.6506582412937387,3.173878458937465,53.7,60.649039596898966,7.8886919512155345
2.1162555148025524,1.55814461804655,4.1875,1.9685019685029528,1.695582495781317,3.7375,2.0463381929681126,4.84382,106.30808,13.9,17.8,4.774934554525329,3.6189933266497696,3.131136910560194,54.5,69.5433082591843,8.384469438983247
1.9878743481543455,1.55814461804655,4.25,1.9685019685029528,1.7320508075688772,3.75,2.0766559657295187,5.12106,107.00487,14.0,17.9,4.743416490252569,3.6136169696133895,3.126760535960395,54.4,70.0868178781519,8.492223969282861
1.8718021769015913,1.55814461804655,4.1875,1.9525624189766635,1.7320508075688772,3.725,2.0766559657295187,5.17594,106.22801,14.0,17.8,4.743416490252569,3.616308761279101,3.139832617527748,54.3,67.49768191726376,8.279103357231442
1.7578579175523736,1.4586150226995167,4.0,1.8708286933869707,1.6431676725154984,3.58,2.0,4.98751,107.0318,14.0,17.7,4.732863826479693,3.629660094453965,3.1612467120315646,54.1,65.47241873096087,8.247913104437057
4.188138441508461,1.3862943611198906,4.0,2.0,1.4142135623730951,3.6,2.0,5.41475,32.27849,11.0,15.0,4.560701700396552,3.856510295497887,3.4657359027997265,46.8,8.432230719844569,3.057375850594339
3.7111300630487563,1.3862943611198906,3.0,1.7320508075688772,1.5811388300841898,3.1,1.8708286933869707,3.36625,31.76378,9.5,14.0,4.636809247747852,3.914021008090819,3.5263605246161616,45.0,13.376095262124228,5.450022532783896
3.40452517175483,1.552279498547093,4.0,1.9002923751359948,1.855921454156937,3.5875,2.0275875100994063,3.02381,98.33355,8.9,13.0,4.427188724235731,3.996364153861897,3.6609942506244004,41.5,48.79196360880546,8.200983811443027
3.269568939183719,1.5284688498763368,3.777777778,1.9002923751359948,1.8708286933869707,3.566666667,2.068278940998476,4.24129,94.21283,9.1,13.0,4.39317652729776,3.996364153861897,3.6686767467964168,41.400000000000006,50.369065533370666,8.103236616404535
3.144152278672264,1.5040773967762742,3.722222222,1.9002923751359948,1.840893502894722,3.533333333,2.0548046676563256,4.0681,93.78813,9.3,13.2,4.427188724235731,3.9815490680767565,3.6454498961866,42.1,65.9778126877752,8.469569247148621
2.7343675094195836,1.491654876677717,3.555555556,1.9002923751359948,1.8708286933869707,3.533333333,2.0548046676563256,4.55744,100.45767,9.3,13.2,4.404543109109048,3.9815490680767565,3.648057459593681,41.9,67.2796058500332,8.38992107308903
2.9014215940827497,1.3975939162614646,3.363636364,1.9306145982562133,1.7320508075688772,3.263636364,1.9886038958388508,4.709555,84.92116,9.2,14.3,4.722287581247038,3.912023005428146,3.5145260669691587,45.8,32.30448169426043,7.07365580637419
3.250374491927572,1.5040773967762742,3.722222222,1.9002923751359948,1.840893502894722,3.533333333,2.0548046676563256,6.61588,104.56289,8.2,12.9,4.560701700396552,4.005513348515485,3.6349511120883804,41.900000000000006,62.4706662140545,7.689496533495733
3.1986731175506815,1.491654876677717,3.611111111,1.9002923751359948,1.840893502894722,3.533333333,2.0548046676563256,6.86298,107.95096,8.4,13.0,4.560701700396552,4.000033882750859,3.6270040503958487,42.2,62.25237211032607,7.773297673152681
3.190476350346503,1.491654876677717,3.555555556,1.9002923751359948,1.8708286933869707,3.533333333,2.0548046676563256,6.92005,114.63662,8.2,12.6,4.58257569495584,4.01096295328305,3.6375861597263857,41.8,61.502860663189686,7.78123686340116
3.242592351485517,1.491654876677717,3.5,1.9002923751359948,1.8708286933869707,3.522222222,2.0548046676563256,7.01164,120.32665,8.3,12.8,4.560701700396552,4.005513348515485,3.6349511120883804,41.900000000000006,59.56054835615033,7.750101355945687
