country,region,un_region,year,gdp,cpia_regulation,cpia_gender,cpia_resources,cpia_transparency,cpia_inclusion,cpia_trade,education$,coll_enrollment,income_quintile2,income_quintile3,income_quintile4,income_quintile5,income_top10%,income_middle60%,income_difference_top-mid60,comm_import_capita,comm_export_capita
Botswana,Southern Africa,Africa Eastern and Southern,2005,10907.14,3.055555556,3.25,3.277777778,2.805555556,3.144444444,3.4166666666666665,10.67859,78.52549,11.9,16.3,22.1,41.95,27.0,50.5,-23.45,1670.7129400937338,2340.770911667169
Brazil,Latin America,Latin America & Caribbean,2005,10954.86,3.777777778,4.0,3.555555556,3.444444444,3.575,4.222222222222222,4.4767,101.29199,6.5,11.1,18.7,60.7,44.6,36.3,8.300000000000004,421.3246102323923,634.8703268377482
Brazil,Latin America,Latin America & Caribbean,2007,12522.52,3.777777778,3.833333333,3.666666667,3.444444444,3.5625,4.277777777777778,4.97835,95.17,6.9,11.6,19.2,59.3,43.2,37.7,5.5,671.5116005705289,837.701221058643
Brazil,Latin America,Latin America & Caribbean,2008,13281.07,3.666666667,3.833333333,3.666666667,3.444444444,3.611111111,4.277777777777778,5.2727,96.72012,7.1,11.8,19.3,58.6,42.5,38.2,4.299999999999997,954.577621802306,1016.049566565393
Brazil,Latin America,Latin America & Caribbean,2009,13222.75,3.611111111,3.777777778,3.611111111,3.5,3.566666667,4.277777777777778,5.47154,96.66548,7.2,11.9,19.4,58.2,42.2,38.5,3.700000000000003,695.9659998491961,780.349510706615
Brazil,Latin America,Latin America & Caribbean,2011,14989.16,3.5,3.722222222,3.611111111,3.388888889,3.533333333,4.222222222222222,5.73952,95.26338,7.5,12.2,19.5,57.5,41.7,39.2,2.5,1204.4593113923252,1279.9407132371502
Brazil,Latin America,Latin America & Caribbean,2012,14994.34,3.444444444,3.611111111,3.611111111,3.388888889,3.533333333,4.222222222222222,5.91431,95.58373,7.4,12.0,19.2,58.1,42.4,38.6,3.800000000000004,1177.153590464961,1199.8964372463777
Bulgaria,Europe,Europe & Central Asia,2005,10291.42,3.55,4.1,3.6,2.65,3.62,3.95,4.11536,90.45072,11.9,16.3,22.1,41.95,27.0,50.5,-23.45,2371.3956288128484,1532.755222110748
Bulgaria,Europe,Europe & Central Asia,2006,11406.49,3.45,4.1,3.6,2.65,3.6,4.0,3.91204,91.37149,12.6,17.1,22.9,41.8,26.6,52.6,-26.0,3061.2632552569903,1986.766657167944
Bulgaria,Europe,Europe & Central Asia,2007,12820.81,3.75,4.3125,3.75,2.625,3.7375,4.1875,3.65297,91.69475,11.9,16.3,22.3,43.0,27.9,50.5,-22.6,3987.281621976378,2461.8021651250083
