%pov,cpia_regulation,cpia_gender,cpia_resources,cpia_transparency,education$,coll_enrollment,income_middle60%,comm_export_capita
9.2,3.777777778,4.277777778,3.833333333,2.666666667,7.21403,109.28977,54.4,14473.258095654332
7.9,3.75,4.1875,3.875,2.875,7.04752,108.55373,54.5,16766.63463045509
29.8,3.5,3.5,4.0,3.5,3.21076,59.79393,47.5,144.45834822796272
21.9,3.0,3.0,4.0,3.5,3.72321,66.42168,47.4,239.725008075186
16.0,3.0,3.5,4.0,3.0,2.87282,60.13283,48.9,374.37946545467526
16.6,3.045454545,3.363636364,3.409090909,2.954545455,3.04426,70.55849,47.7,485.8285959964564
15.4,3.045454545,3.363636364,3.409090909,3.0,2.9019,69.7292,48.0,575.8696107558392
14.1,3.045454545,3.363636364,3.590909091,2.954545455,3.52513,74.73399,47.8,483.4814662568484
12.5,2.961538462,3.307692308,3.538461538,3.076923077,3.18944,79.21021,45.1,823.5405451954075
12.0,2.892857143,3.285714286,3.5,3.142857143,3.40748,80.40742,44.8,759.450853304893
11.4,2.9,3.3,3.4,3.1,3.36658,82.48971,44.5,720.7623836664961
11.3,2.9,3.3,3.4,3.133333333,3.29643,82.4687,45.0,687.0247766886065
19.3,3.55,4.1,3.6,2.65,4.24747,98.28961,52.5,6385.786401597072
19.5,3.45,4.1,3.6,2.65,4.53567,99.0232,52.2,7169.250432190511
18.9,3.75,4.3125,3.75,2.625,4.11661,99.62739,52.8,8553.826394807515
18.4,3.875,4.375,3.75,2.5625,4.40077,100.36239,52.3,9225.86595740178
18.7,3.777777778,4.277777778,3.777777778,2.611111111,4.53406,100.71809,52.6,6885.485183362908
19.8,3.777777778,4.277777778,3.833333333,2.666666667,4.3492,102.2127,52.3,7538.112359298651
19.5,3.75,4.1875,3.875,2.875,4.14053,102.66749,51.9,8812.077326989005
14.8,3.777777778,4.0,3.555555556,3.444444444,4.61642,90.57089,50.400000000000006,565.7618723856992
17.6,3.666666667,3.666666667,3.666666667,3.388888889,6.3713,92.82521,50.400000000000006,485.6080575120634
