%pov,cpia_regulation,cpia_gender,cpia_resources,cpia_transparency,cpia_inclusion,cpia_trade,education$,coll_enrollment,income_quintile2,income_quintile3,income_quintile4,income_quintile5,income_top10%,income_middle60%,comm_import_capita,comm_export_capita
14.7,3.75,4.1875,3.875,2.875,3.7375,4.1875,6.64467,92.82562,12.5,16.2,21.6,41.3,26.7,50.3,7675.019910294947,1707.0948234455752
32.8,3.666666667,3.666666667,3.666666667,3.388888889,3.555555556,4.277777777777778,4.07574,83.51436,8.4,13.0,20.5,53.9,37.5,41.9,1373.6770217454318,1166.8049339591455
28.6,3.5,3.722222222,3.611111111,3.388888889,3.533333333,4.222222222222222,4.31455,83.46509,9.0,13.9,21.7,51.0,34.1,44.6,1593.8111673210074,1466.2634686089684
27.3,3.444444444,3.611111111,3.611111111,3.388888889,3.533333333,4.222222222222222,4.1657,85.45839,9.0,14.0,21.6,51.1,34.6,44.6,1627.27381006431,1540.4415504172953
29.6,3.5,3.0,4.5,2.5,3.6,3.0,4.49659,34.80822,12.6,16.3,21.3,41.7,27.4,50.2,96.33827974834117,14.915982176990465
12.6,3.55,4.1,3.6,2.65,3.62,3.95,6.03606,111.97108,13.8,17.3,22.2,37.2,23.0,53.3,11145.915427205297,12435.593316248884
13.0,3.45,4.1,3.6,2.65,3.6,4.0,5.9381,111.61355,13.7,17.3,22.4,37.4,23.0,53.4,13183.423736695511,14674.358191037752
13.6,3.75,4.3125,3.75,2.625,3.7375,4.1875,5.68609,110.32909,13.7,17.2,22.3,37.6,23.3,53.2,15424.577564892828,16979.32295073288
13.8,3.875,4.375,3.75,2.5625,3.7875,4.3125,5.84677,108.74427,13.8,17.3,22.3,37.2,23.0,53.400000000000006,17350.446085076615,18236.174342826504
13.1,3.777777778,4.277777778,3.777777778,2.611111111,3.733333333,4.388888888888889,6.48518,107.4238,13.9,17.5,22.4,36.9,22.6,53.8,11393.854027190391,11774.11526556832
13.7,3.777777778,4.277777778,3.833333333,2.666666667,3.755555556,4.333333333333333,6.54071,107.27259,13.8,17.4,22.6,37.0,22.5,53.8,12821.672674663158,13073.261176033197
13.2,3.75,4.1875,3.875,2.875,3.7375,4.1875,6.48201,107.47822,13.9,17.3,22.4,37.1,22.8,53.6,15563.73883241232,14623.281453497522
11.8,3.75,4.25,3.875,3.0,3.75,4.3125,7.19254,107.4859,14.0,17.4,22.5,36.7,22.3,53.9,14054.19811280851,13478.921321152256
12.8,3.75,4.1875,3.8125,3.0,3.725,4.3125,7.17948,143.21856,14.0,17.5,22.6,36.6,22.3,54.1,14265.01216902753,13687.400052252522
36.9,4.5,4.5,4.5,3.5,4.1,4.5,3.00364,83.48521,11.4,16.0,22.8,43.5,27.5,50.2,946.9443815205186,240.9937103563161
38.8,5.0,4.5,4.5,3.0,4.0,5.5,2.69687,89.8833,11.1,15.7,22.4,44.6,28.9,49.2,1350.755757665878,319.2514741624566
34.9,5.5,4.5,4.5,3.0,4.2,6.0,2.91956,90.65106,10.9,15.7,22.3,45.0,29.1,48.900000000000006,1573.536468587735,389.1137957135459
34.9,5.5,4.5,4.5,3.0,4.2,6.0,3.22238,88.10632,11.0,15.7,22.5,44.7,28.9,49.2,1173.263276006123,297.19581592897896
31.9,4.0,4.0,4.0,3.5,3.7,4.0,7.42208,47.34028,9.9,14.6,21.7,48.6,32.7,46.2,216.8466860687033,136.00702828574416
24.2,4.5,4.0,3.5,4.0,4.0,4.0,7.91914,58.13869,9.8,14.6,21.9,48.3,31.7,46.3,505.5375455130806,586.8172197959087
20.5,3.55,4.1,3.6,2.65,3.62,3.95,3.96396,99.64309,12.0,16.7,22.7,41.7,26.3,51.4,4996.116186631237,1586.779683460398
21.4,3.777777778,4.277777778,3.833333333,2.666666667,3.755555556,4.333333333333333,4.709555,104.97926,12.3,17.1,22.9,41.0,25.6,52.3,5975.236522286296,2480.428892882612
51.0,3.722222222,4.0,3.611111111,3.444444444,3.5875,4.111111111111111,2.98401,52.00338,7.0,11.8,19.2,58.9,43.2,38.0,721.9782055696785,242.03466181500045
9.6,3.55,4.1,3.6,2.65,3.62,3.95,7.38386,109.11264,13.6,17.1,21.6,38.5,24.4,52.3,16778.975675183836,10415.138039456211
10.1,3.45,4.1,3.6,2.65,3.6,4.0,7.37424,109.39719,13.4,16.7,21.5,39.5,25.4,51.6,19721.75767161978,11367.18491220678
10.1,3.75,4.3125,3.75,2.625,3.7375,4.1875,7.06128,108.87189,13.6,16.8,21.6,38.9,24.8,52.0,21471.183132947757,15316.315047213113
10.2,3.875,4.375,3.75,2.5625,3.7875,4.3125,7.25437,109.07084,12.9,16.4,21.2,40.8,27.1,50.5,19425.508254204287,16872.065627225013
9.8,3.777777778,4.277777778,3.777777778,2.611111111,3.733333333,4.388888888888889,7.35713,107.943,13.8,17.3,21.8,38.1,24.0,52.900000000000006,11315.541678309824,12737.75330220817
9.2,3.777777778,4.277777778,3.833333333,2.666666667,3.755555556,4.333333333333333,7.21403,109.28977,14.4,17.9,22.1,36.0,22.0,54.4,12307.688140837188,14473.258095654332
7.9,3.75,4.1875,3.875,2.875,3.7375,4.1875,7.04752,108.55373,14.1,18.0,22.4,36.2,22.1,54.5,15189.804337740665,16766.63463045509
29.8,3.5,3.5,4.0,3.5,3.7,3.5,3.21076,59.79393,11.8,15.2,20.5,44.2,30.0,47.5,217.71233211894585,144.45834822796272
21.9,3.0,3.0,4.0,3.5,3.6,4.0,3.72321,66.42168,11.7,15.2,20.5,44.4,30.1,47.4,367.6805019509249,239.725008075186
16.0,3.0,3.5,4.0,3.0,3.14,4.5,2.87282,60.13283,12.0,15.7,21.2,42.8,28.0,48.9,252.1834951184489,374.37946545467526
16.6,3.045454545,3.363636364,3.409090909,2.954545455,3.154545455,3.6818181818181817,3.04426,70.55849,11.3,15.1,21.3,44.8,29.6,47.7,317.099426416242,485.8285959964564
